PERIOD,ELAPSED_SECS,ACTIONS
1,0,Jump Ball Johnson vs. Lopez: Tip to Young
1,28,Sullinger Bad Pass Turnover (P1.T1)
1,47,Bradley REBOUND (Off:0 Def:1)
1,59,Sullinger Offensive Charge Foul (P1.T1) (K.Fitzgerald)
1,59,Sullinger Foul Turnover (P2.T2)
1,91,MISS Thomas 25' 3PT Jump Shot
1,99,Sullinger BLOCK (1 BLK)
1,100,Crowder REBOUND (Off:0 Def:1)
1,116,MISS Crowder 19' Pullup Jump Shot
1,122,CELTICS Timeout: Regular (Full 1 Short 0)
1,137,MISS Thomas 18' Jump Shot
1,146,Johnson P.FOUL (P1.T2) (Z.Zarba)
1,173,Bradley 20' Jump Shot (2 PTS) (Crowder 1 AST)
1,180,Bradley P.FOUL (P1.T3) (K.Fitzgerald)
1,185,Crowder S.FOUL (P1.T4) (Z.Zarba)
1,194,MISS Bradley 21' Jump Shot
1,195,Johnson REBOUND (Off:1 Def:0)
1,195,Johnson  Putback Dunk (2 PTS)
1,213,Crowder REBOUND (Off:0 Def:2)
1,215,Crowder Free Throw 1 of 2 (1 PTS)
1,215,Crowder Free Throw 2 of 2 (2 PTS)
1,235,Johnson BLOCK (1 BLK)
1,236,Johnson BLOCK (2 BLK)
1,237,Crowder REBOUND (Off:0 Def:3)
1,249,Crowder 2' Driving Finger Roll Layup (4 PTS) (Thomas 1 AST)
1,268,Thomas REBOUND (Off:0 Def:1)
1,282,Sullinger 21' Jump Shot (2 PTS) (Crowder 2 AST)
1,291,Johnson S.FOUL (P2.PN) (K.Fitzgerald)
1,309,MISS Sullinger 3' Layup
1,310,Sullinger REBOUND (Off:1 Def:0)
1,311,Sullinger 2' Putback Layup (4 PTS)
1,333,Sullinger REBOUND (Off:1 Def:1)
1,339,Thomas 26' 3PT Pullup Jump Shot (3 PTS)
1,370,Crowder 26' 3PT Jump Shot (7 PTS) (Thomas 2 AST)
1,396,MISS Bradley 26' 3PT Jump Shot
1,397,Johnson REBOUND (Off:2 Def:0)
1,397,Johnson  Putback Dunk (4 PTS)
1,426,MISS Crowder 6' Jump Shot
1,427,SUB: Olynyk FOR Johnson
1,427,SUB: Turner FOR Bradley
1,477,Sullinger 25' 3PT Jump Shot (7 PTS) (Crowder 3 AST)
1,494,Sullinger STEAL (1 STL)
1,500,Olynyk 1' Alley Oop Layup (2 PTS) (Thomas 3 AST)
1,523,Sullinger REBOUND (Off:1 Def:2)
1,531,Thomas 1' Driving Finger Roll Layup (5 PTS)
1,532,SUB: Zeller FOR Sullinger
1,561,MISS Thomas 26' 3PT Jump Shot
1,591,MISS Zeller 20' Jump Shot
1,604,Olynyk REBOUND (Off:0 Def:1)
1,611,Thomas Bad Pass Turnover (P1.T3)
1,630,SUB: Smart FOR Thomas
1,630,SUB: Jerebko FOR Crowder
1,641,Jerebko Free Throw 1 of 2 (1 PTS)
1,641,Jerebko Free Throw 2 of 2 (2 PTS)
1,658,Jerebko REBOUND (Off:0 Def:1)
1,666,MISS Turner 20' Jump Shot
1,679,Olynyk Offensive Charge Foul (P1.PN) (Z.Zarba)
1,679,Olynyk Foul Turnover (P1.T4)
1,682,Smart Personal Block Foul (P1.PN) (K.Fitzgerald)
1,695,MISS Zeller 9' Jump Shot
1,716,Olynyk REBOUND (Off:0 Def:2)
1,719,MISS Smart 29' 3PT Jump Shot
1,720,CELTICS Rebound
2,733,MISS Zeller Free Throw 1 of 2
2,733,CELTICS Rebound
2,733,Zeller Free Throw 2 of 2 (1 PTS)
2,763,Olynyk 8' Jump Shot (4 PTS)
2,776,SUB: Bradley FOR Olynyk
2,790,MISS Zeller 20' Jump Shot
2,792,Bradley REBOUND (Off:1 Def:1)
2,799,MISS Smart 9' Jump Shot
2,801,Smart REBOUND (Off:1 Def:0)
2,805,MISS Jerebko 13' Jump Shot
2,817,Zeller S.FOUL (P1.T1) (K.Fitzgerald)
2,825,Turner Free Throw 1 of 2 (1 PTS)
2,825,Turner Free Throw 2 of 2 (2 PTS)
2,856,MISS Bradley 25' 3PT Jump Shot
2,858,Jerebko REBOUND (Off:1 Def:1)
2,863,Zeller Free Throw 1 of 2 (2 PTS)
2,863,Zeller Free Throw 2 of 2 (3 PTS)
2,890,Turner  Driving Finger Roll Layup (4 PTS)
