PERIOD,ELAPSED_SECS,ACTIONS
1,91,MISS Thomas 25' 3PT Jump Shot
1,116,MISS Crowder 19' Pullup Jump Shot
1,137,MISS Thomas 18' Jump Shot
1,173,Bradley 20' Jump Shot (2 PTS) (Crowder 1 AST)
1,194,MISS Bradley 21' Jump Shot
1,195,Johnson  Putback Dunk (2 PTS)
1,215,Crowder Free Throw 1 of 2 (1 PTS)
1,215,Crowder Free Throw 2 of 2 (2 PTS)
1,249,Crowder 2' Driving Finger Roll Layup (4 PTS) (Thomas 1 AST)
1,282,Sullinger 21' Jump Shot (2 PTS) (Crowder 2 AST)
1,309,MISS Sullinger 3' Layup
1,311,Sullinger 2' Putback Layup (4 PTS)
1,339,Thomas 26' 3PT Pullup Jump Shot (3 PTS)
1,370,Crowder 26' 3PT Jump Shot (7 PTS) (Thomas 2 AST)
1,396,MISS Bradley 26' 3PT Jump Shot
1,397,Johnson  Putback Dunk (4 PTS)
1,426,MISS Crowder 6' Jump Shot
1,477,Sullinger 25' 3PT Jump Shot (7 PTS) (Crowder 3 AST)
1,500,Olynyk 1' Alley Oop Layup (2 PTS) (Thomas 3 AST)
1,531,Thomas 1' Driving Finger Roll Layup (5 PTS)
1,561,MISS Thomas 26' 3PT Jump Shot
1,591,MISS Zeller 20' Jump Shot
1,641,Jerebko Free Throw 1 of 2 (1 PTS)
1,641,Jerebko Free Throw 2 of 2 (2 PTS)
1,666,MISS Turner 20' Jump Shot
1,695,MISS Zeller 9' Jump Shot
1,719,MISS Smart 29' 3PT Jump Shot
2,733,MISS Zeller Free Throw 1 of 2
2,733,Zeller Free Throw 2 of 2 (1 PTS)
2,763,Olynyk 8' Jump Shot (4 PTS)
2,790,MISS Zeller 20' Jump Shot
2,799,MISS Smart 9' Jump Shot
2,805,MISS Jerebko 13' Jump Shot
2,825,Turner Free Throw 1 of 2 (1 PTS)
2,825,Turner Free Throw 2 of 2 (2 PTS)
2,856,MISS Bradley 25' 3PT Jump Shot
2,863,Zeller Free Throw 1 of 2 (2 PTS)
2,863,Zeller Free Throw 2 of 2 (3 PTS)
2,890,Turner  Driving Finger Roll Layup (4 PTS)
2,910,MISS Turner 25' 3PT Jump Shot
2,928,MISS Jerebko 25' 3PT Jump Shot
2,989,MISS Thomas 18' Pullup Jump Shot
2,990,Johnson  Putback Dunk (6 PTS)
2,1033,MISS Sullinger 1' Layup
2,1034,MISS Sullinger 2' Tip Layup Shot
2,1070,MISS Crowder 9' Jump Shot
2,1105,MISS Crowder 25' 3PT Jump Shot
2,1113,Thomas 1' Driving Layup (7 PTS) (Johnson 1 AST)
2,1152,Johnson Free Throw 1 of 2 (7 PTS)
2,1152,MISS Johnson Free Throw 2 of 2
2,1177,MISS Sullinger 27' 3PT Jump Shot
2,1198,MISS Crowder Free Throw 1 of 2
2,1198,Crowder Free Throw 2 of 2 (8 PTS)
2,1238,MISS Lee Free Throw 1 of 2
2,1238,Lee Free Throw 2 of 2 (1 PTS)
2,1268,Thomas Free Throw 1 of 2 (8 PTS)
2,1268,Thomas Free Throw 2 of 2 (9 PTS)
2,1302,Lee  Cutting Dunk Shot (3 PTS) (Thomas 4 AST)
2,1329,MISS Lee  Cutting Layup Shot
2,1354,Crowder 21' Jump Shot (10 PTS) (Lee 1 AST)
2,1393,MISS Turner  3PT Jump Shot
2,1410,Thomas 1' Running Reverse Layup (11 PTS)
2,1438,Thomas 2' Driving Finger Roll Layup (13 PTS)
3,1456,MISS Thomas 25' 3PT Jump Shot
3,1485,MISS Sullinger 17' Jump Shot
3,1507,Crowder 26' 3PT Jump Shot (13 PTS) (Thomas 5 AST)
3,1623,MISS Thomas  3PT Jump Shot
3,1695,MISS Thomas 10' Jump Shot
3,1727,MISS Turner 12' Turnaround Fadeaway Shot
3,1752,MISS Crowder 25' 3PT Jump Shot
3,1775,Thomas  Running Finger Roll Layup (15 PTS)
3,1820,MISS Turner 18' Jump Shot
3,1822,Smart Free Throw 1 of 2 (1 PTS)
3,1822,Smart Free Throw 2 of 2 (2 PTS)
3,1846,MISS Lee 8' Turnaround Hook Shot
3,1881,Smart Free Throw 1 of 3 (3 PTS)
3,1881,MISS Smart Free Throw 2 of 3
3,1881,MISS Smart Free Throw 3 of 3
3,1910,Olynyk 25' 3PT Jump Shot (7 PTS) (Smart 1 AST)
3,1941,MISS Lee 2' Layup
3,1969,MISS Lee 7' Jump Shot
3,1998,MISS Olynyk 25' 3PT Jump Shot
3,2016,MISS Thomas 7' Floating Jump Shot
3,2048,Thomas 11' Jump Shot (17 PTS)
3,2079,MISS Smart  3PT Jump Shot
3,2081,MISS Jerebko  Layup
3,2104,MISS Thomas 27' 3PT Pullup Jump Shot
3,2134,Smart 2' Driving Finger Roll Layup (5 PTS)
3,2134,Smart Free Throw 1 of 1 (6 PTS)
3,2160,MISS Thomas 34' 3PT Jump Shot
4,2195,MISS Smart 26' 3PT Jump Shot
4,2226,Smart 2' Driving Layup (8 PTS) (Turner 1 AST)
4,2261,Jerebko 26' 3PT Jump Shot (5 PTS) (Turner 2 AST)
4,2301,Smart 3' Layup (10 PTS) (Jerebko 1 AST)
4,2301,Smart Free Throw 1 of 1 (11 PTS)
4,2337,Turner Free Throw 1 of 2 (5 PTS)
4,2337,Turner Free Throw 2 of 2 (6 PTS)
4,2362,Turner 15' Step Back Jump Shot (8 PTS)
4,2397,Turner 1' Driving Reverse Layup (10 PTS)
4,2457,MISS Turner 24' 3PT Jump Shot
4,2495,MISS Crowder 27' 3PT Jump Shot
4,2526,MISS Jerebko 25' 3PT Jump Shot
4,2560,Thomas 1' Driving Reverse Layup (19 PTS)
4,2593,MISS Johnson 7' Hook Shot
4,2643,MISS Turner 2' Layup
4,2645,MISS Crowder 1' Tip Layup Shot
4,2681,Thomas 26' 3PT Jump Shot (22 PTS) (Johnson 2 AST)
4,2722,MISS Olynyk 25' 3PT Jump Shot
4,2768,MISS Thomas 14' Jump Shot
4,2825,Thomas 2' Cutting Layup Shot (24 PTS) (Turner 3 AST)
4,2841,Crowder  Layup (15 PTS) (Thomas 6 AST)
4,2841,Crowder Free Throw 1 of 1 (16 PTS)
4,2857,MISS Crowder 24' 3PT Jump Shot
4,2866,MISS Thomas 27' 3PT Jump Shot
4,2869,Turner 2' Putback Layup (12 PTS)
4,2878,MISS Jerebko  3PT Jump Shot
1,18,Young 1' Reverse Layup (2 PTS) (Johnson 1 AST)
1,46,MISS Young 21' Jump Shot
1,76,Lopez 8' Fadeaway Jumper (2 PTS) (Jack 1 AST)
1,99,MISS Bogdanovic 4' Jump Shot
1,122,Bogdanovic  Layup (2 PTS) (Jack 2 AST)
1,161,Lopez 7' Jump Bank Shot (4 PTS)
1,185,Lopez 12' Jump Shot (6 PTS) (Jack 3 AST)
1,185,Lopez Free Throw 1 of 1 (7 PTS)
1,212,MISS Young 2' Layup
1,235,MISS Young 4' Jump Shot
1,236,MISS Young  Layup
1,267,MISS Lopez 17' Jump Shot
1,291,Lopez 2' Layup (9 PTS) (Jack 4 AST)
1,291,Lopez Free Throw 1 of 1 (10 PTS)
1,332,MISS Bogdanovic  3PT Jump Shot
